source_excel_row,mineID,site,country_raw,roman_province_raw,region_raw,latitude_raw,longitude_raw,coordinate_in_broad_spain_envelope,include_spain_subset,selection_rule,selection_reason
655,930,Los Cavenes,Spain,Lusitania,Salamanca,40.56572807,-6.141205928,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
656,932,Los Cubanallos,Spain,Hispania Tarraconensis,León,42.321607,-6.392307,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
657,933,Los Culeritos,Spain,Hispania Baetica,Huelva,38.0863122,-6.95065167,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
658,934,Los Dolores,Spain,Hispania Tarraconensis,Ciudad Real,38.61094749,-4.39579808,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
659,935,Los Eneros,Spain,Hispania Baetica,Córdoba,38.27643785,-5.37490862,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
660,936,Los Engarbos,Spain,Hispania Baetica,Jaén,38.35777354,-3.18415148,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
661,937,Los Escoriales,Spain,Hispania Baetica,Jaén,38.18103892,-3.92435169,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
662,938,Los Estancos,Spain,Hispania Tarraconensis,León,42.471098,-6.205953,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
663,941,Los Fuellos,Spain,Hispania Tarraconensis,León,42.44272,-6.21592,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
664,942,Los Galayos,Spain,Hispania Tarraconensis,Ciudad Real,38.46864925,-3.92188162,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
665,943,Los Guijarros,Spain,Hispania Baetica,Huelva,38.13938667,-6.92455813,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
666,944,Los Guindos,Spain,Hispania Tarraconensis,Jaén,38.31201215,-3.69137155,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
667,945,Los Lagunales - Teso las Pilas,Spain,Hispania Tarraconensis,León,42.431208,-6.175599,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
668,946,Los Mayadones I,Spain,Hispania Tarraconensis,León,42.318736,-6.358224,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
669,947,Los Mayadones II,Spain,Hispania Tarraconensis,León,42.31273,-6.341954,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
670,948,Los Milagros del Monte Medo,Spain,Hispania Tarraconensis,Orense,42.23208,-7.629413,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
671,950,Los Moruecos de Larón,Spain,Hispania Tarraconensis,Oviedo,42.98355,-6.634177,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
672,951,Los Muriacales - Los Cubanallos,Spain,Hispania Tarraconensis,León,42.233705,-6.346199,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
673,952,Los Palazuelos,Spain,Hispania Tarraconensis,Jaén,38.19025394,-3.58399511,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
674,953,Los Patalos,Spain,Hispania Baetica,Córdoba,38.1725365,-4.27719014,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
675,954,Los Pobos,Spain,Hispania Baetica,Córdoba,38.21042193,-4.554018,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
676,955,Los Poliñeiros,Spain,Hispania Tarraconensis,León,42.66691589,-6.730899562,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
677,956,Los Prados del Castro,Spain,Hispania Tarraconensis,León,42.244728,-6.41975,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
