mineID,technique_code,technique_name,source_column,source_raw_value,status,confirmed_present
1354,opencast,Opencast / surface,techniqueOpencast,,missing,
1355,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1356,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1357,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1358,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1359,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1360,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1361,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1362,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1363,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1364,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1365,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1366,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1367,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1368,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1369,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1370,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1371,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1373,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1374,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1375,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1376,opencast,Opencast / surface,techniqueOpencast,,missing,
1377,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1378,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1379,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1380,opencast,Opencast / surface,techniqueOpencast,,missing,
1381,opencast,Opencast / surface,techniqueOpencast,,missing,
1382,opencast,Opencast / surface,techniqueOpencast,,missing,
1383,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1384,opencast,Opencast / surface,techniqueOpencast,,missing,
1385,opencast,Opencast / surface,techniqueOpencast,,missing,
1386,opencast,Opencast / surface,techniqueOpencast,,missing,
1388,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1389,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1390,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1391,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1392,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1393,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1394,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1395,opencast,Opencast / surface,techniqueOpencast,,missing,
1396,opencast,Opencast / surface,techniqueOpencast,,missing,
1397,opencast,Opencast / surface,techniqueOpencast,,missing,
1399,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1400,opencast,Opencast / surface,techniqueOpencast,,missing,
1401,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1402,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1403,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1404,opencast,Opencast / surface,techniqueOpencast,,missing,
1405,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1406,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1407,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1408,opencast,Opencast / surface,techniqueOpencast,,missing,
1409,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1410,opencast,Opencast / surface,techniqueOpencast,,missing,
1411,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1412,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1413,opencast,Opencast / surface,techniqueOpencast,,missing,
1414,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1415,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1416,opencast,Opencast / surface,techniqueOpencast,,missing,
1417,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1418,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1420,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1437,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
1447,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1449,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1504,opencast,Opencast / surface,techniqueOpencast,,missing,
1627,opencast,Opencast / surface,techniqueOpencast,,missing,
1628,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1635,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1636,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1637,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1638,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1639,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1764,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1767,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
1768,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
